population_size,mutation_rate,crossover_rate,elite_size,generations,best_distance,computation_time
200,0.02,0.9,10,1000,8143.503990520753,62.89736032485962
200,0.01,0.98,10,1000,8371.193516690166,56.43172097206116
200,0.03,0.95,10,1000,8407.193958191558,59.17535042762756
150,0.03,0.9,10,1000,8448.234913158645,46.768213510513306
200,0.03,0.9,10,1000,8543.761460376842,55.11243224143982
300,0.01,0.9,10,1000,8585.687453633864,94.74790406227112
150,0.03,0.95,10,1000,8612.467974798676,47.0130889415741
150,0.02,0.95,10,1000,8616.202076299842,45.59297442436218
150,0.03,0.98,10,1000,8625.176745634664,46.697635889053345
150,0.01,0.9,10,1000,8688.086004275287,40.01649785041809
200,0.02,0.95,10,1000,8779.98862938628,64.63683485984802
200,0.01,0.9,10,1000,8839.007076288965,57.38938570022583
300,0.02,0.9,10,1000,8922.34040533635,83.73114109039307
150,0.01,0.95,10,1000,8986.466087651754,40.574108600616455
200,0.03,0.98,10,1000,8994.689987234173,56.43681073188782
300,0.01,0.98,10,1000,9021.355079565317,91.72960257530212
200,0.01,0.95,10,1000,9069.64716105869,55.379451513290405
150,0.02,0.9,10,1000,9082.326627123693,48.04272270202637
300,0.02,0.98,10,1000,9154.75887845409,87.88402271270752
150,0.01,0.98,10,1000,9177.675693137831,40.6343948841095
150,0.02,0.98,10,1000,9240.207074755572,49.25582408905029
300,0.03,0.9,10,1000,9352.468901334374,86.03024458885193
300,0.03,0.95,10,1000,9353.026163215161,84.10968160629272
300,0.03,0.98,10,1000,9353.151632523743,80.70136165618896
300,0.01,0.95,10,1000,9437.05613356791,130.3341658115387
200,0.02,0.98,10,1000,9594.934900380393,55.284326791763306
300,0.02,0.95,10,1000,9655.113751883964,88.22182559967041
