population_size,mutation_rate,crossover_rate,elite_size,generations,best_distance,computation_time
150,0.02,0.9,10,1000,37982.69885418848,57.1261842250824
150,0.03,0.9,10,1000,38283.57102351798,57.49150109291077
150,0.01,0.9,10,1000,39111.75227941061,60.26308465003967
150,0.03,0.98,10,1000,39272.351981778156,57.54392099380493
200,0.03,0.9,10,1000,39431.96927196663,76.06538796424866
200,0.01,0.9,10,1000,41243.83400726491,76.13125681877136
150,0.02,0.95,10,1000,41630.63835695393,57.62551188468933
200,0.02,0.9,10,1000,41634.06029632353,76.40924286842346
300,0.03,0.9,10,1000,42447.62013316283,114.6783185005188
150,0.03,0.95,10,1000,42893.15987409835,57.36031675338745
150,0.01,0.95,10,1000,43713.87103062041,57.876755237579346
150,0.01,0.98,10,1000,43974.08353430393,57.800384283065796
200,0.03,0.95,10,1000,44749.78337122878,76.54547333717346
300,0.01,0.9,10,1000,45081.17118190767,114.88021731376648
150,0.02,0.98,10,1000,45290.434233317275,58.39727759361267
200,0.01,0.95,10,1000,46023.00702259065,86.59120607376099
200,0.03,0.98,10,1000,46163.86914838475,76.98664450645447
200,0.02,0.98,10,1000,46826.25421795139,77.13440132141113
300,0.02,0.9,10,1000,48008.65811230012,114.70704102516174
200,0.02,0.95,10,1000,48378.50298363329,76.56299018859863
200,0.01,0.98,10,1000,48574.25861077993,104.91356062889099
300,0.02,0.95,10,1000,48752.98490089051,115.38500642776489
300,0.03,0.95,10,1000,48812.130966396246,115.59027767181396
300,0.01,0.98,10,1000,52145.88740301598,116.02589988708496
300,0.02,0.98,10,1000,52389.138107549974,115.9848473072052
300,0.03,0.98,10,1000,54365.599036185005,116.06276822090149
300,0.01,0.95,10,1000,54844.265308542366,115.45574474334717
