population_size,mutation_rate,crossover_rate,elite_size,generations,best_distance,computation_time
150,0.02,0.9,10,1000,3792356.351418685,1085.1777300834656
150,0.03,0.9,10,1000,3863842.0767137664,1078.8153653144836
150,0.01,0.9,10,1000,3879228.9791675755,1085.8565020561218
150,0.03,0.95,10,1000,3919860.3023960623,1115.9121215343475
150,0.01,0.95,10,1000,3928559.6122811227,1116.3382897377014
200,0.01,0.9,10,1000,4013872.685035434,1463.1793608665466
200,0.02,0.9,10,1000,4037315.256020863,1449.6968550682068
200,0.03,0.9,10,1000,4039960.5497223395,1456.649649143219
150,0.01,0.98,10,1000,4043144.2285067136,1139.0150871276855
150,0.02,0.95,10,1000,4095863.9239489343,1111.7126624584198
150,0.03,0.98,10,1000,4116858.391501342,1133.1357564926147
200,0.03,0.95,10,1000,4182267.3503825995,1503.283896446228
150,0.02,0.98,10,1000,4185191.6534316563,1134.5185616016388
200,0.01,0.95,10,1000,4205422.561031544,1498.2137961387634
200,0.02,0.98,10,1000,4206968.30227746,1534.1058275699615
300,0.03,0.9,10,1000,4209111.681724329,2228.90371799469
200,0.03,0.98,10,1000,4212226.263556465,1529.866276025772
300,0.02,0.9,10,1000,4222914.973676635,2213.627665281296
200,0.02,0.95,10,1000,4274669.57801535,1502.4613347053528
300,0.01,0.9,10,1000,4303942.434020531,2210.3956487178802
200,0.01,0.98,10,1000,4359471.662764366,1535.0393204689026
300,0.03,0.98,10,1000,4379558.883561041,2319.6514263153076
300,0.03,0.95,10,1000,4393599.2149334755,2280.32976603508
300,0.01,0.95,10,1000,4451658.886387925,2273.8350496292114
300,0.02,0.95,10,1000,4478050.920209757,2285.5242323875427
300,0.02,0.98,10,1000,4564328.329741626,2321.8854761123657
300,0.01,0.98,10,1000,4590623.061396147,2323.293782711029
